Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Horizons.Data\Horizons.Data.csproj,File,Horizons.Data\Horizons.Data.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 8.0.16,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 8.0.16  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Horizons.Data\Horizons.Data.csproj,File,Horizons.Data\Horizons.Data.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 8.0.16,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 8.0.16  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Horizons.Data\Horizons.Data.csproj,File,Horizons.Data\Horizons.Data.csproj,,,Microsoft.EntityFrameworkCore.Tools 8.0.16,,,,,"Microsoft.EntityFrameworkCore.Tools, 8.0.16  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Horizons.Data\Horizons.Data.csproj,File,Horizons.Data\Horizons.Data.csproj,,,Microsoft.Extensions.Identity.Stores 8.0.16,,,,,"Microsoft.Extensions.Identity.Stores, 8.0.16  Recommendation:  Remove Microsoft.Extensions.Identity.Stores, and replace with new package Microsoft.Extensions.Identity.Stores 10.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Horizons.Data\Horizons.Data.csproj,File,Horizons.Data\Horizons.Data.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Horizons.Data\Horizons.Data.csproj,File,Horizons.Data\Horizons.Data.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Horizons.Data\Horizons.Data.csproj,File,Horizons.Data\ApplicationDbContext.cs,11,12,M:Microsoft.AspNetCore.Identity.EntityFrameworkCore.IdentityDbContext.#ctor(Microsoft.EntityFrameworkCore.DbContextOptions),,,,,: base(options)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Horizons.Data\Horizons.Data.csproj,File,Horizons.Data\ApplicationDbContext.cs,11,12,M:Microsoft.AspNetCore.Identity.EntityFrameworkCore.IdentityDbContext.#ctor(Microsoft.EntityFrameworkCore.DbContextOptions),,,,,: base(options)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Horizons.Data\Horizons.Data.csproj,File,Horizons.Data\ApplicationDbContext.cs,8,40,T:Microsoft.AspNetCore.Identity.EntityFrameworkCore.IdentityDbContext,,,,,IdentityDbContext
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Horizons.Data.Models\Horizons.Data.Models.csproj,File,Horizons.Data.Models\Horizons.Data.Models.csproj,,,Microsoft.Extensions.Identity.Stores 8.0.16,,,,,"Microsoft.Extensions.Identity.Stores, 8.0.16  Recommendation:  Remove Microsoft.Extensions.Identity.Stores, and replace with new package Microsoft.Extensions.Identity.Stores 10.0.7"
